FECHA,SPY,EEM,VIG,GLD,BTC,LATAM,CORP
2020-01-02,324.87,45.78,125.34,143.95,6960.58,1043.97,286.1005234
2020-01-03,322.41,44.93,124.8,145.86,7269.82,1043.95,280.9416842
2020-01-06,323.64,44.82,124.88,147.39,7575.93,1043.84,282.0631794
2020-01-07,322.73,44.79,124.54,147.97,8021.36,1043.86,283.5883336
2020-01-08,324.45,45.05,125.13,146.86,8004.26,1043.97,284.7337655
2020-01-09,326.65,45.35,125.94,146.03,7786.84,1044.1,289.3484518
2020-01-10,325.71,45.59,125.51,146.91,8043.69,1044.22,292.0012106
2020-01-13,327.95,46.3,126.29,145.82,8131.06,1044.2,291.0786984
2020-01-14,327.45,46.04,126.37,145.69,8736.16,1044.21,292.4500315
2020-01-15,328.19,45.68,126.98,146.54,8821.69,1044.31,295.0362846
2020-01-16,330.92,45.97,128.05,146.31,8678.8,1044.48,295.0701987
2020-01-17,331.95,46.23,128.59,146.58,8906.32,1044.43,292.8311354
2020-01-21,331.3,45.06,128.6,146.74,8721.88,1044.7,290.2191167
2020-01-22,331.34,45.43,128.75,146.79,8640.65,1044.53,289.1543949
2020-01-23,331.72,44.96,128.68,147.12,8382.87,1044.67,288.6118303
2020-01-24,328.77,44.6,127.79,147.98,8406.05,1044.68,286.5431224
2020-01-27,323.5,43.06,126.55,148.99,8945.5,1044.66,284.2339198
2020-01-28,326.89,43.42,127.32,147.66,9042.56,1044.66,286.1324991
2020-01-29,326.62,43.63,127.03,148.46,9354.7,1044.82,289.1729749
2020-01-30,327.68,42.98,127.78,148.47,9552.18,1045.14,288.2192359
2020-01-31,321.73,42.11,125.37,149.33,9354.29,1045.2,287.311314
2020-02-03,324.12,42.58,126.16,148.36,9274.19,1045.1,290.4303052
2020-02-04,329.06,43.68,127.93,146.43,9139.77,1045.07,295.7753679
2020-02-05,332.86,43.93,129.35,146.61,9687.28,1045.03,295.159773
2020-02-06,333.98,43.97,129.41,147.4,9737.36,1045.14,295.4402129
2020-02-07,332.2,43.36,128.63,147.79,9744.46,1045.41,297.3684945
2020-02-10,334.68,43.6,129.31,148.17,9866.28,1045.34,295.7224693
2020-02-11,335.26,44.17,129.31,147.66,10236.53,1045.46,293.8469023
2020-02-12,337.42,44.77,130.01,147.54,10389.08,1045.29,294.5164664
2020-02-13,337.06,44.18,130.23,148.38,10180.13,1045.45,293.1661745
2020-02-14,337.6,44.2,130.69,149.0,10344.55,1045.63,292.4381312
2020-02-18,336.73,43.91,130.3,150.91,10154.96,1045.64,292.0587021
2020-02-19,338.34,44.23,130.53,151.79,9612.05,1045.73,291.8005697
2020-02-20,336.95,43.54,130.14,152.41,9610.56,1045.98,291.0000873
2020-02-21,333.48,43.29,129.4,154.7,9674.01,1045.77,292.3561129
2020-02-24,322.42,41.67,126.01,156.09,9606.78,1045.77,292.3561129
2020-02-25,312.65,41.34,122.39,153.3,9383.9,1045.77,292.3561129
2020-02-26,311.5,41.67,121.58,153.97,8747.24,1045.56,291.4386668
2020-02-27,297.51,40.67,116.46,154.0,8757.31,1045.33,290.1493213
2020-02-28,296.26,40.52,114.91,148.38,8671.27,1045.41,288.6696055
2020-03-02,309.09,41.4,120.16,149.2,8945.93,1045.6,288.3793723
2020-03-03,300.24,41.12,117.21,153.89,8738.3,1046.13,287.3698267
2020-03-04,312.86,41.85,122.24,154.16,8732.24,1046.81,288.2891101
2020-03-05,302.46,40.97,118.46,157.49,9115.82,1046.57,288.2060402
2020-03-06,297.46,40.13,117.48,157.55,9138.35,1046.59,286.1412817
2020-03-09,274.23,37.39,109.97,157.81,7861.2,1046.2,277.7602091
2020-03-10,288.42,39.29,114.71,154.48,7999.1,1046.34,278.1229137
2020-03-11,274.36,37.46,109.01,153.93,7863.14,1046.17,274.2314832
2020-03-12,248.11,33.71,99.38,147.79,5725.35,1044.38,271.3936214
2020-03-13,269.32,36.14,107.56,143.28,5434.09,1045.27,269.1949671
2020-03-16,239.85,31.63,96.09,141.64,4904.48,1043.83,266.9584099
2020-03-17,252.8,33.81,102.54,143.56,5469.8,1041.88,261.9601381
2020-03-18,240.0,30.89,98.93,140.7,5338.27,1039.75,257.3134352
2020-03-19,240.51,31.13,98.58,138.04,6254.32,1038.77,257.7614594
2020-03-20,228.8,31.36,93.23,140.11,5971.92,1039.68,254.4326039
2020-03-23,222.95,30.61,89.24,146.3,6414.54,1039.68,254.4326039
2020-03-24,243.15,32.91,97.24,153.4,6752.28,1039.68,254.4326039
2020-03-25,246.79,34.07,98.64,151.3,6598.56,1042.88,253.5513538
2020-03-26,261.2,35.36,104.03,153.24,6744.69,1045.83,254.4125601
2020-03-27,253.42,33.35,101.72,152.25,6683.67,1045.3,252.8833528
2020-03-30,261.65,33.9,105.31,152.92,6477.56,1044.43,251.4333411
2020-03-31,257.75,34.13,103.39,148.05,6481.37,1044.43,251.4333411
2020-04-01,246.15,32.67,99.31,149.45,6351.21,1043.89,253.8328858
2020-04-02,251.83,33.77,101.9,151.9,6749.37,1043.42,254.4603896
2020-04-03,248.19,33.13,100.52,152.65,6703.55,1043.48,255.3970369
2020-04-06,264.86,34.94,107.17,156.88,7231.12,1043.48,256.9894273
2020-04-07,265.13,35.12,106.75,156.04,7118.23,1045.35,256.2781181
2020-04-08,274.03,35.48,109.89,154.65,7325.08,1045.4,254.6755383
2020-04-09,278.2,35.35,111.33,158.69,7306.08,1045.4,254.6755383
2020-04-13,275.66,35.4,109.58,161.41,6828.62,1047.84,253.5546938
2020-04-14,283.79,36.21,113.05,162.68,6873.41,1047.85,254.000847
2020-04-15,277.76,35.28,110.56,161.85,6752.45,1047.97,252.1942393
2020-04-16,279.1,35.47,111.27,161.71,7060.08,1048.08,252.1509142
2020-04-17,286.64,36.26,114.54,158.57,7060.14,1048.85,259.1546575
2020-04-20,281.59,35.8,112.13,159.7,6868.11,1048.68,258.0470402
2020-04-21,273.04,34.81,109.12,158.61,6894.6,1048.79,257.076501
2020-04-22,279.1,35.76,111.4,161.73,7119.34,1048.68,256.219793
2020-04-23,279.08,35.63,110.92,163.34,7541.59,1048.81,245.7848523
2020-04-24,282.97,35.58,112.32,162.64,7533.88,1049.29,246.2765759
2020-04-27,287.05,36.3,114.03,161.56,7708.12,1049.69,246.3829525
2020-04-28,285.73,36.37,113.99,160.84,7736.85,1050.5,241.7697136
2020-04-29,293.21,37.43,115.55,161.73,8933.48,1051.62,241.7697136
2020-04-30,290.48,36.64,113.6,158.8,8826.56,1051.85,241.7697136
2020-05-01,282.79,35.32,111.22,159.78,8734.2,1051.85,241.7697136
2020-05-04,283.57,35.7,111.26,160.34,8921.68,1051.83,241.7697136
2020-05-05,286.19,35.9,112.31,161.02,8951.51,1051.96,232.459848
2020-05-06,284.25,35.79,111.12,158.95,9250.9,1051.51,234.2160511
2020-05-07,287.68,36.08,112.24,161.39,9801.31,1051.95,234.7636693
2020-05-08,292.44,36.84,113.83,160.42,9998.9,1052.02,237.8435033
