FECHA,SPY,EEM,VIG,GLD,BTC,LATAM,CORP
2020-01-31,321.73,42.11,125.37,149.33,9354.29,1045.2,287.311314
2020-02-29,296.26,40.52,114.91,148.38,8671.27,1045.41,288.6696055
2020-03-31,257.75,34.13,103.39,148.05,6481.37,1044.43,251.4333411
2020-04-30,290.48,36.64,113.6,158.8,8826.56,1051.85,241.7697136
2020-05-31,304.32,37.73,117.69,162.91,9415.96,1053.63,252.6046792
2020-06-30,308.36,39.99,117.18,167.37,9147.09,1054.58,284.7788123
2020-07-31,326.52,43.29,123.01,185.43,11345.63,1056.5,265.7268063
2020-08-31,349.31,44.54,130.59,184.83,11678.6,1055.91,274.3233117
2020-09-30,334.89,44.09,128.66,177.12,10706.95,1056.57,241.8139612
2020-10-31,326.54,44.71,125.74,176.2,13639.46,1057.17,235.2004405
2020-11-30,362.06,48.73,138.36,166.67,19378.61,1059.93,241.0816267
2020-12-31,373.88,51.67,141.17,178.36,28996.28,1062.86,253.8982169
2021-01-31,370.07,53.31,137.05,172.61,34641.09,1063.33,249.0243271
2021-02-28,380.36,53.73,139.21,161.81,45672.06,1061.44,259.1640952
2021-03-31,396.33,53.34,147.08,159.96,58960.2,1060.44,258.453794
2021-04-30,417.3,53.98,153.01,165.66,56814.44,1062.7,251.4401321
2021-05-31,420.04,54.87,155.7,178.38,35218.36,1061.13,246.6203627
2021-06-30,428.06,55.15,154.79,165.63,34585.0,1060.6,242.6301723
2021-07-31,438.51,51.6,159.72,169.82,40689.27,1062.2,243.2543583
2021-08-31,451.56,52.41,162.39,169.69,47008.53,1065.45,244.2697987
2021-09-30,429.14,50.38,153.6,164.22,43436.35,1066.33,244.244296
2021-10-31,459.25,50.92,164.25,166.65,62395.66,1064.16,224.5108833
2021-11-30,455.56,48.84,161.99,165.5,57138.67,1063.61,221.8601624
2021-12-31,474.96,48.85,171.75,170.96,46333.65,1065.43,229.6935494
2022-01-31,449.91,48.84,162.64,168.09,38437.84,1062.92,217.2200721
2022-02-28,436.63,46.73,158.08,178.38,41654.97,1060.18,236.1440996
2022-03-31,451.64,45.15,162.16,180.65,45767.58,1059.99,252.0874055
2022-04-30,412.0,42.38,153.86,176.91,38560.04,1055.17,252.8527453
2022-05-31,412.93,42.64,153.75,171.14,31788.28,1057.48,253.1667326
2022-06-30,377.25,40.1,143.47,168.46,18731.3,1056.8,216.8753836
2022-07-31,411.99,39.96,153.22,164.1,23951.94,1058.81,215.8039283
2022-08-31,395.18,39.43,147.93,159.27,20196.67,1060.13,222.1107779
