FECHA,MERVAL,UVA,BADLAR,MPFONDO,MEP
30/12/2025,"3.051.617,00","1.706,43","26,69","22.150,23","1.480,74"
29/12/2025,"3.100.075,00","1.702,36","26,06","22.136,47","1.484,35"
26/12/2025,"3.112.380,00","1.699,65","26,88","22.096,75","1.486,11"
24/12/2025,"3.121.145,00","1.698,30",#N/A,#N/A,"1.481,63"
23/12/2025,"3.114.970,00","1.696,95","28,63","22.060,18","1.479,44"
22/12/2025,"3.136.090,00","1.692,90","26,88","22.048,90","1.493,06"
19/12/2025,"3.139.467,00","1.691,55","27,00","22.015,72","1.494,62"
18/12/2025,"3.163.224,00","1.690,20","26,19","22.004,87","1.498,58"
17/12/2025,"3.035.517,00","1.688,86","25,81","21.993,71","1.514,14"
16/12/2025,"3.034.429,00","1.687,51","25,75","21.982,35","1.504,30"
15/12/2025,"3.012.681,00","1.683,68","25,25","21.971,14","1.492,01"
12/12/2025,"2.979.065,00","1.682,40","24,94","21.937,51","1.478,73"
11/12/2025,"2.980.581,00","1.681,13","25,75","21.926,38","1.476,11"
10/12/2025,"3.013.647,00","1.679,85","25,50","21.914,70","1.471,35"
9/12/2025,"2.987.064,00","1.674,77","25,25","21.902,99","1.468,72"
5/12/2025,"3.046.355,00","1.673,50","25,75","21.856,06","1.474,54"
4/12/2025,"3.096.396,00","1.672,23","26,00","21.844,54","1.470,00"
3/12/2025,"3.129.449,00","1.670,96","26,50","21.832,67","1.470,30"
2/12/2025,"3.042.001,00","1.669,70","28,50","21.820,70","1.477,35"
1/12/2025,"3.060.289,00","1.665,91","29,44","21.808,62","1.475,23"
28/11/2025,"3.026.470,00","1.664,64","29,94","21.771,29","1.476,42"
27/11/2025,"3.020.019,00","1.663,38","30,25","21.758,41","1.481,82"
26/11/2025,"2.985.632,00","1.662,12","29,81","21.744,95","1.487,55"
25/11/2025,"2.865.760,00","1.655,83","30,13","21.731,17","1.480,68"
21/11/2025,"2.761.615,00","1.655,83",#N/A,#N/A,"1.460,35"
20/11/2025,"2.850.533,00","1.654,58","31,00","21.661,13","1.452,76"
19/11/2025,"2.869.724,00","1.653,33","32,19","21.646,71","1.441,13"
18/11/2025,"2.932.664,00","1.652,07","32,44","21.632,37","1.440,51"
17/11/2025,"2.926.871,00","1.648,46","31,13","21.617,86","1.448,93"
14/11/2025,"2.992.809,00","1.647,36","32,06","21.573,60","1.451,17"
13/11/2025,"2.883.333,00","1.646,26","31,56","21.558,76","1.462,04"
12/11/2025,"2.984.608,00","1.645,15","31,31","21.543,43","1.451,89"
11/11/2025,"2.958.511,00","1.644,05","33,38","21.528,14","1.455,43"
10/11/2025,"2.951.889,00","1.640,75","32,50","21.512,52","1.458,18"
7/11/2025,"2.864.647,00","1.638,55","32,94","21.465,88","1.454,69"
6/11/2025,"2.973.544,00","1.638,55",#N/A,#N/A,"1.480,23"
5/11/2025,"3.048.197,00","1.637,45","34,06","21.434,62","1.478,74"
4/11/2025,"3.080.710,00","1.636,35","35,00","21.418,18","1.495,58"
3/11/2025,"3.104.495,00","1.633,07","34,75","21.401,49","1.500,47"
31/10/2025,"3.002.607,00","1.631,97","37,19","21.350,35","1.477,46"
30/10/2025,"2.793.520,00","1.630,88","40,94","21.331,47","1.470,60"
29/10/2025,"2.801.881,00","1.629,78","41,19","21.311,05","1.475,21"
28/10/2025,"2.670.388,00","1.628,69","44,50","21.281,67","1.477,87"
27/10/2025,"2.529.084,00","1.625,42","41,81","21.254,32","1.440,79"
24/10/2025,"2.076.859,00","1.624,33","49,44","21.179,45","1.549,44"
23/10/2025,"2.055.520,00","1.623,24","48,63","21.160,59","1.533,70"
22/10/2025,"2.018.811,00","1.622,15","48,13","21.142,65","1.592,99"
21/10/2025,"2.002.849,00","1.621,07","48,75","21.125,28","1.591,57"
20/10/2025,"1.978.419,00","1.617,81","49,38","21.106,85","1.552,82"
17/10/2025,"1.989.555,00","1.616,73","53,06","21.046,40","1.541,49"
16/10/2025,"1.929.505,00","1.615,64","57,25","21.016,31","1.473,52"
15/10/2025,"1.912.739,00","1.614,63","56,25","20.978,12","1.441,77"
14/10/2025,"1.884.774,00","1.613,62","51,94","20.945,26","1.454,99"
13/10/2025,"1.924.930,00","1.609,57","46,56","20.920,33","1.409,92"
9/10/2025,"1.924.930,00","1.608,56","49,56","20.832,20","1.440,81"
8/10/2025,"1.819.464,00","1.607,55","44,31","20.811,21","1.527,95"
7/10/2025,"1.793.952,00","1.606,54","44,13","20.791,95","1.533,95"
